Name,Calories,Fat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,Allergy: dairy?,Allergy: eggs?,Allergy: gluten?,Allergy: soy?,Allergy: wheat?,Allergy: sesame?,Allergy: fish?,Vegetarian?,Vegan?,Time of day,Kind of product?,Dining hall
Banana,131,?,2,?,34,4,18,2,no,no,no,no,no,no,no,yes,yes,all day,side,Counter Culture
Orange,54,?,1,?,14,2,10,1,no,no,no,no,no,no,no,yes,yes,all day,side,Counter Culture
Affogato,228,14,56,48,21,?,15,4,yes,no,no,no,no,no,no,yes,no,all day,side,Counter Culture
Double Affogato,396,22,89,96,39,?,29,8,yes,no,no,no,no,no,no,yes,no,all day,side,Counter Culture
Dark Chocolate Gelato,161,8,55,43,21,2,16,4,yes,yes,no,no,no,no,no,yes,no,all day,side,Counter Culture
Vanilla Gelato,150,8,29,42,17,?,13,3,yes,no,no,no,no,no,no,yes,no,all day,side,Counter Culture
Strawberry Gelato,154,?,?,?,40,?,39,?,no,no,no,no,no,no,no,yes,yes,all day,side,Counter Culture
Chocolate Chunk Cookie,370,18,30,210,52,2,31,4,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Counter Culture
Oreo Cheesecake Slice,580,37,125,360,59,2,42,7,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Counter Culture
White Chocolate Raspberry,590,41,165,310,51,1,37,7,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Counter Culture
Signature Cheese Pizza,745,24,71,1359,99,1,1,35,yes,no,yes,no,yes,no,no,yes,no,all day,dish,Scholar's Pizza
Margherita Pizza,867,35,91,1080,101,2,3,43,yes,no,yes,no,yes,no,no,yes,no,all day,dish,Scholar's Pizza
Pepperoni Pizza,842,34,91,1687,98,1,1,37,yes,no,yes,no,yes,no,no,no,no,all day,dish,Scholar's Pizza
Cali Chicken Bacon Ranch Pizza,1257,70,213,2008,99,2,2,59,yes,yes,yes,yes,yes,no,no,no,no,all day,dish,Scholar's Pizza
Wild Mushroom Garlic Pizza,2231,76,50,1256,320,15,2,54,yes,no,yes,yes,yes,no,no,yes,no,all day,dish,Scholar's Pizza
Spicy Meat Lovers Pizza,1183,63,192,2298,99,1,2,50,yes,no,yes,no,yes,no,no,no,no,all day,dish,Scholar's Pizza
Chicken Pesto Pizza,1286,72,168,1404,102,8,4,61,yes,no,yes,no,yes,no,no,no,no,all day,dish,Scholar's Pizza
Focaccia Caprese Sandwich,610,30,46,760,64,2,3,27,yes,no,yes,no,yes,no,no,yes,no,afternoon,dish,Scholar's Pizza
Turkey Meatball Sub,759,31,199,1661,59,5,3,61,yes,yes,yes,yes,yes,no,no,no,no,afternoon,dish,Scholar's Pizza
Chicken Parmesan Sub,876,44,100,2138,75,6,6,47,yes,no,yes,yes,yes,no,no,no,no,afternoon,dish,Scholar's Pizza
Spaghetti with Marinara,725,19,37,1553,108,7,3,29,yes,no,yes,no,yes,no,no,yes,no,afternoon,dish,Scholar's Pizza
Spaghetti and Turkey Meatballs,891,36,76,1428,108,9,13,39,yes,no,yes,yes,yes,no,no,no,no,afternoon,dish,Scholar's Pizza
Focaccia Caprese Sandwich,610,30,46,760,64,2,3,27,yes,no,yes,no,yes,no,no,yes,no,afternoon,dish,Scholar's Italian
Turkey Meatball Sub,759,31,199,1661,59,5,3,61,yes,yes,yes,yes,yes,no,no,no,no,afternoon,dish,Scholar's Italian
Chicken Parmesan Sub,876,44,100,2138,75,6,6,47,yes,no,yes,yes,yes,no,no,no,no,afternoon,dish,Scholar's Italian
Spaghetti with Marinara,725,19,37,1553,108,7,3,29,yes,no,yes,no,yes,no,no,yes,no,afternoon,dish,Scholar's Italian
Spaghetti and Turkey Meatballs,891,36,76,1428,108,9,13,39,yes,no,yes,yes,yes,no,no,no,no,afternoon,dish,Scholar's Italian
OV Side Caesar Salad,300,20,26,515,20,2,3,10,yes,yes,yes,yes,yes,no,yes,no,no,all day,side,Scholar's Italian
OV Side Salad,104,9,5,165,5,1,2,1,yes,yes,no,yes,no,no,no,yes,no,all day,side,Scholar's Italian
Signature Cheese Pizza Slice,1078,17,45,791,183,11,2,41,yes,no,yes,no,yes,no,no,yes,no,all day,dish,Scholar's Italian
Cup n Char Pepperoni Slice,1149,24,59,1055,183,11,2,43,yes,no,yes,no,yes,no,no,no,no,all day,dish,Scholar's Italian
Wild Mushroom Garlic Pizza,1281,41,61,982,181,10,1,41,yes,no,yes,yes,yes,no,no,yes,no,all day,dish,Scholar's Italian
Garlic Cheesy Bread,770,31,68,958,90,5,?,29,yes,no,yes,yes,yes,no,no,yes,no,all day,side,Scholar's Italian
Italian Soda,157,?,?,15,38,?,36,?,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
French Soda,318,12,61,73,42,?,36,4,yes,no,no,no,no,no,no,yes,no,all day,beverage,Sunshine Market
Cream Soda,177,12,61,74,8,?,4,4,yes,no,no,no,no,no,no,yes,no,all day,beverage,Sunshine Market
Ginger Beer Shandy,66,?,?,17,16,?,15,?,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Cherry Splash,145,?,?,25,37,?,27,?,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Rise and Sunshine,178,?,?,28,44,?,35,?,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Strawberry Arnold Palmer,23,?,?,15,8,2,5,1,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Sunrise Red Bull Infusion,280,?,?,204,68,?,64,1,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Blue Raspberry Slushie,222,?,?,15,53,?,53,?,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Strawberry Slushie,214,?,?,15,55,?,55,?,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Mango Smoothie,253,?,?,14,62,?,57,2,no,no,no,no,no,no,no,yes,yes,all day,beverage,Sunshine Market
Kouign Amann Blueberry,320,17,60,230,39,1,18,5,yes,yes,yes,no,yes,no,no,yes,no,all day,side,Sunshine Market
Cranberry Orange Muffin,460,21,90,570,62,1,34,6,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Sunshine Market
Gluten-Free Chocolate Chip Cookie,580,26,?,350,82,6,47,6,no,no,no,yes,no,no,no,yes,yes,all day,side,Sunshine Market
Brookie Bar,470,27,115,330,55,2,27,7,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Sunshine Market
Chocolate Chip Brownie Bar,500,28,90,180,63,3,47,5,yes,yes,yes,yes,yes,no,no,yes,no,all day,side,Sunshine Market
